customer_state,orders,late_orders,aov,late_pct,target_late_pp,convert_orders,inc_repeats,inc_revenue
SP,41746,1820,125.75117945619336,4.359699132851052,1.359699132851052,1252.0,4.045243686591206,508.694164776564
RJ,12852,1495,142.93156793606016,11.632430750077809,8.632430750077809,386.0,1.2471757691886627,178.26078818199744
MG,11635,520,137.32744542619542,4.4692737430167595,1.4692737430167595,349.0,1.1276278327638427,154.85424966493562
RS,5466,325,138.12666053019146,5.945847054518843,2.9458470545188433,164.0,0.5298881506397427,73.19168070238669
PR,5045,199,136.6714205682273,3.9444995044598614,0.9444995044598614,151.0,0.48788482162561675,66.67991164524922
SC,3637,291,144.11775747508307,8.001099807533683,5.0010998075336826,109.0,0.35218175865690216,50.75564528126366
BA,3380,396,152.2781387730792,11.715976331360947,8.715976331360947,101.0,0.3263335561866708,49.6934665553063
DF,2140,118,142.40185411764705,5.514018691588785,2.5140186915887854,64.0,0.2067856197618508,29.44665565895431
GO,2020,128,146.78223716990533,6.336633663366337,3.336633663366337,61.0,0.19709254383551406,28.929684513684386
ES,2033,214,135.8208938271605,10.526315789473683,7.526315789473683,61.0,0.19709254383551406,26.769285470408327
PE,1652,153,159.4587560679612,9.261501210653753,6.261501210653753,50.0,0.16155126543894593,25.76076382809933
CE,1336,176,171.25449133383572,13.17365269461078,10.17365269461078,40.0,0.12924101235115676,22.13310382966733
PA,975,106,184.48227835051546,10.871794871794872,7.871794871794872,29.0,0.09369973395458865,17.28594040077967
MT,907,53,173.25972314507197,5.843439911797133,2.843439911797133,27.0,0.08723768333703082,15.114776862791418
MA,747,125,161.6867837837838,16.733601070950467,13.733601070950467,22.0,0.07108255679313621,11.493109991010348
PB,536,54,216.6693233082707,10.074626865671641,7.074626865671641,16.0,0.0516964049404627,11.201025075920395
MS,715,68,164.7568970380818,9.51048951048951,6.51048951048951,21.0,0.0678515314843573,11.179007786644421
PI,495,66,176.29630831643001,13.333333333333334,10.333333333333334,15.0,0.048465379631683785,8.544267510220152
RN,485,44,172.2717427385892,9.072164948453608,6.072164948453608,15.0,0.048465379631683785,8.349215411637491
AL,413,85,195.41316301703162,20.581113801452787,17.581113801452787,12.0,0.038772303705347025,7.576618504518837
SE,350,51,170.7850724637681,14.571428571428571,11.571428571428571,11.0,0.03554127839656811,6.06991980641284
TO,280,27,177.85569892473117,9.642857142857144,6.642857142857144,8.0,0.02584820247023135,4.59725011629096
RO,253,7,186.80421052631579,2.766798418972332,0.0,7.0,0.022617177161452433,4.224983923978941
AP,68,2,198.15147058823527,2.941176470588235,,0.0,0.0,0.0
AM,148,4,152.0873469387755,2.7027027027027026,,0.0,0.0,0.0
AC,81,3,197.32037037037037,3.7037037037037033,,0.0,0.0,0.0
RR,46,5,170.20499999999998,10.869565217391305,,0.0,0.0,0.0
